skill_path,grade,score
plugins/saas-packs/attio-pack/skills/attio-performance-tuning,A,98
plugins/saas-packs/attio-pack/skills/attio-prod-checklist,A,99
plugins/saas-packs/attio-pack/skills/attio-rate-limits,A,98
plugins/saas-packs/attio-pack/skills/attio-reference-architecture,A,96
plugins/saas-packs/attio-pack/skills/attio-sdk-patterns,A,98
plugins/saas-packs/attio-pack/skills/attio-security-basics,A,96
plugins/saas-packs/attio-pack/skills/attio-upgrade-migration,A,99
plugins/saas-packs/attio-pack/skills/attio-webhooks-events,A,95
plugins/saas-packs/bamboohr-pack/skills/bamboohr-ci-integration,A,98
plugins/saas-packs/bamboohr-pack/skills/bamboohr-common-errors,A,98
plugins/saas-packs/bamboohr-pack/skills/bamboohr-core-workflow-a,A,97
plugins/saas-packs/bamboohr-pack/skills/bamboohr-core-workflow-b,A,96
plugins/saas-packs/bamboohr-pack/skills/bamboohr-cost-tuning,A,96
plugins/saas-packs/bamboohr-pack/skills/bamboohr-debug-bundle,A,97
plugins/saas-packs/bamboohr-pack/skills/bamboohr-deploy-integration,A,98
plugins/saas-packs/bamboohr-pack/skills/bamboohr-hello-world,A,96
plugins/saas-packs/bamboohr-pack/skills/bamboohr-install-auth,A,98
plugins/saas-packs/bamboohr-pack/skills/bamboohr-local-dev-loop,A,100
plugins/saas-packs/bamboohr-pack/skills/bamboohr-performance-tuning,A,98
plugins/saas-packs/bamboohr-pack/skills/bamboohr-prod-checklist,A,97
plugins/saas-packs/bamboohr-pack/skills/bamboohr-rate-limits,A,95
plugins/saas-packs/bamboohr-pack/skills/bamboohr-reference-architecture,A,99
plugins/saas-packs/bamboohr-pack/skills/bamboohr-sdk-patterns,A,98
plugins/saas-packs/bamboohr-pack/skills/bamboohr-security-basics,A,94
plugins/saas-packs/bamboohr-pack/skills/bamboohr-upgrade-migration,A,97
plugins/saas-packs/bamboohr-pack/skills/bamboohr-webhooks-events,A,95
plugins/saas-packs/brightdata-pack/skills/brightdata-ci-integration,A,95
plugins/saas-packs/brightdata-pack/skills/brightdata-common-errors,A,93
plugins/saas-packs/brightdata-pack/skills/brightdata-core-workflow-a,A,92
plugins/saas-packs/brightdata-pack/skills/brightdata-core-workflow-b,A,93
plugins/saas-packs/brightdata-pack/skills/brightdata-cost-tuning,A,94
plugins/saas-packs/brightdata-pack/skills/brightdata-debug-bundle,A,92
plugins/saas-packs/brightdata-pack/skills/brightdata-deploy-integration,A,92
plugins/saas-packs/brightdata-pack/skills/brightdata-hello-world,A,93
plugins/saas-packs/brightdata-pack/skills/brightdata-install-auth,A,92
plugins/saas-packs/brightdata-pack/skills/brightdata-local-dev-loop,A,95
plugins/saas-packs/brightdata-pack/skills/brightdata-performance-tuning,A,95
plugins/saas-packs/brightdata-pack/skills/brightdata-prod-checklist,A,93
plugins/saas-packs/brightdata-pack/skills/brightdata-rate-limits,A,93
plugins/saas-packs/brightdata-pack/skills/brightdata-reference-architecture,A,93
plugins/saas-packs/brightdata-pack/skills/brightdata-sdk-patterns,A,93
plugins/saas-packs/brightdata-pack/skills/brightdata-security-basics,A,93
plugins/saas-packs/brightdata-pack/skills/brightdata-upgrade-migration,A,93
plugins/saas-packs/brightdata-pack/skills/brightdata-webhooks-events,A,93
plugins/saas-packs/canva-pack/skills/canva-advanced-troubleshooting,B,84
plugins/saas-packs/canva-pack/skills/canva-architecture-variants,B,86
plugins/saas-packs/canva-pack/skills/canva-ci-integration,B,82
plugins/saas-packs/canva-pack/skills/canva-common-errors,A,91
plugins/saas-packs/canva-pack/skills/canva-core-workflow-a,B,84
plugins/saas-packs/canva-pack/skills/canva-core-workflow-b,B,82
plugins/saas-packs/canva-pack/skills/canva-cost-tuning,A,91
plugins/saas-packs/canva-pack/skills/canva-data-handling,B,81
plugins/saas-packs/canva-pack/skills/canva-debug-bundle,B,84
plugins/saas-packs/canva-pack/skills/canva-deploy-integration,B,89
plugins/saas-packs/canva-pack/skills/canva-enterprise-rbac,B,81
plugins/saas-packs/canva-pack/skills/canva-hello-world,B,85
plugins/saas-packs/canva-pack/skills/canva-incident-runbook,B,84
plugins/saas-packs/canva-pack/skills/canva-install-auth,B,86
plugins/saas-packs/canva-pack/skills/canva-known-pitfalls,B,86
plugins/saas-packs/canva-pack/skills/canva-load-scale,B,87
plugins/saas-packs/canva-pack/skills/canva-local-dev-loop,B,81
plugins/saas-packs/canva-pack/skills/canva-migration-deep-dive,B,86
plugins/saas-packs/canva-pack/skills/canva-multi-env-setup,A,91
plugins/saas-packs/canva-pack/skills/canva-observability,B,84
plugins/saas-packs/canva-pack/skills/canva-performance-tuning,B,85
plugins/saas-packs/canva-pack/skills/canva-policy-guardrails,B,86
plugins/saas-packs/canva-pack/skills/canva-prod-checklist,A,93
plugins/saas-packs/canva-pack/skills/canva-rate-limits,B,89
plugins/saas-packs/canva-pack/skills/canva-reference-architecture,B,83
plugins/saas-packs/canva-pack/skills/canva-reliability-patterns,B,83
plugins/saas-packs/canva-pack/skills/canva-sdk-patterns,B,86
plugins/saas-packs/canva-pack/skills/canva-security-basics,B,87
plugins/saas-packs/canva-pack/skills/canva-upgrade-migration,B,86
plugins/saas-packs/canva-pack/skills/canva-webhooks-events,B,82
plugins/saas-packs/castai-pack/skills/castai-ci-integration,A,94
plugins/saas-packs/castai-pack/skills/castai-common-errors,A,93
plugins/saas-packs/castai-pack/skills/castai-core-workflow-a,A,91
plugins/saas-packs/castai-pack/skills/castai-core-workflow-b,A,92
plugins/saas-packs/castai-pack/skills/castai-cost-tuning,A,93
plugins/saas-packs/castai-pack/skills/castai-debug-bundle,A,91
plugins/saas-packs/castai-pack/skills/castai-deploy-integration,A,93
plugins/saas-packs/castai-pack/skills/castai-hello-world,A,91
plugins/saas-packs/castai-pack/skills/castai-install-auth,A,93
plugins/saas-packs/castai-pack/skills/castai-local-dev-loop,A,93
plugins/saas-packs/castai-pack/skills/castai-performance-tuning,A,92
plugins/saas-packs/castai-pack/skills/castai-prod-checklist,A,92
plugins/saas-packs/castai-pack/skills/castai-rate-limits,A,91
plugins/saas-packs/castai-pack/skills/castai-reference-architecture,A,91
plugins/saas-packs/castai-pack/skills/castai-sdk-patterns,A,94
plugins/saas-packs/castai-pack/skills/castai-security-basics,A,93
plugins/saas-packs/castai-pack/skills/castai-upgrade-migration,A,93
plugins/saas-packs/castai-pack/skills/castai-webhooks-events,A,93
plugins/saas-packs/clari-pack/skills/clari-ci-integration,B,89
plugins/saas-packs/clari-pack/skills/clari-common-errors,B,85
plugins/saas-packs/clari-pack/skills/clari-core-workflow-a,B,84
plugins/saas-packs/clari-pack/skills/clari-core-workflow-b,B,84
plugins/saas-packs/clari-pack/skills/clari-cost-tuning,B,86
plugins/saas-packs/clari-pack/skills/clari-debug-bundle,B,89
plugins/saas-packs/clari-pack/skills/clari-deploy-integration,B,86
plugins/saas-packs/clari-pack/skills/clari-hello-world,B,87
plugins/saas-packs/clari-pack/skills/clari-install-auth,A,90
plugins/saas-packs/clari-pack/skills/clari-local-dev-loop,B,88
plugins/saas-packs/clari-pack/skills/clari-performance-tuning,B,86
plugins/saas-packs/clari-pack/skills/clari-prod-checklist,B,87
plugins/saas-packs/clari-pack/skills/clari-rate-limits,B,86
plugins/saas-packs/clari-pack/skills/clari-reference-architecture,B,85
plugins/saas-packs/clari-pack/skills/clari-sdk-patterns,C,79
plugins/saas-packs/clari-pack/skills/clari-security-basics,A,90
plugins/saas-packs/clari-pack/skills/clari-upgrade-migration,B,86
plugins/saas-packs/clari-pack/skills/clari-webhooks-events,B,84
plugins/saas-packs/claude-pack/skills/clade-advanced-troubleshooting,A,98
plugins/saas-packs/claude-pack/skills/clade-architecture-variants,A,91
plugins/saas-packs/claude-pack/skills/clade-ci-integration,A,91
plugins/saas-packs/claude-pack/skills/clade-common-errors,A,93
plugins/saas-packs/claude-pack/skills/clade-core-workflow-a,A,91
plugins/saas-packs/claude-pack/skills/clade-core-workflow-b,A,90
plugins/saas-packs/claude-pack/skills/clade-cost-tuning,A,98
plugins/saas-packs/claude-pack/skills/clade-data-handling,A,94
plugins/saas-packs/claude-pack/skills/clade-debug-bundle,A,97
plugins/saas-packs/claude-pack/skills/clade-deploy-integration,A,93
plugins/saas-packs/claude-pack/skills/clade-embeddings-search,A,90
plugins/saas-packs/claude-pack/skills/clade-enterprise-rbac,A,95
plugins/saas-packs/claude-pack/skills/clade-hello-world,A,92
plugins/saas-packs/claude-pack/skills/clade-incident-runbook,A,95
plugins/saas-packs/claude-pack/skills/clade-install-auth,A,93
plugins/saas-packs/claude-pack/skills/clade-known-pitfalls,A,93
plugins/saas-packs/claude-pack/skills/clade-load-scale,A,94
plugins/saas-packs/claude-pack/skills/clade-local-dev-loop,A,95
plugins/saas-packs/claude-pack/skills/clade-migration-deep-dive,A,98
plugins/saas-packs/claude-pack/skills/clade-model-inference,A,94
plugins/saas-packs/claude-pack/skills/clade-multi-env-setup,A,94
plugins/saas-packs/claude-pack/skills/clade-observability,A,94
plugins/saas-packs/claude-pack/skills/clade-performance-tuning,A,92
plugins/saas-packs/claude-pack/skills/clade-policy-guardrails,A,93
plugins/saas-packs/claude-pack/skills/clade-prod-checklist,A,97
plugins/saas-packs/claude-pack/skills/clade-rate-limits,A,97
plugins/saas-packs/claude-pack/skills/clade-reference-architecture,A,97
plugins/saas-packs/claude-pack/skills/clade-reliability-patterns,A,93
plugins/saas-packs/claude-pack/skills/clade-sdk-patterns,A,91
plugins/saas-packs/claude-pack/skills/clade-security-basics,A,93
plugins/saas-packs/claude-pack/skills/clade-upgrade-migration,A,98
plugins/saas-packs/claude-pack/skills/clade-webhooks-events,A,93
plugins/saas-packs/clay-pack/skills/clay-advanced-troubleshooting,A,95
plugins/saas-packs/clay-pack/skills/clay-architecture-variants,C,78
plugins/saas-packs/clay-pack/skills/clay-ci-integration,B,81
plugins/saas-packs/clay-pack/skills/clay-common-errors,B,87
plugins/saas-packs/clay-pack/skills/clay-core-workflow-a,B,88
plugins/saas-packs/clay-pack/skills/clay-core-workflow-b,B,89
plugins/saas-packs/clay-pack/skills/clay-cost-tuning,B,81
plugins/saas-packs/clay-pack/skills/clay-data-handling,A,91
plugins/saas-packs/clay-pack/skills/clay-debug-bundle,B,86
plugins/saas-packs/clay-pack/skills/clay-deploy-integration,B,86
plugins/saas-packs/clay-pack/skills/clay-enterprise-rbac,B,84
plugins/saas-packs/clay-pack/skills/clay-hello-world,A,91
plugins/saas-packs/clay-pack/skills/clay-incident-runbook,A,97
plugins/saas-packs/clay-pack/skills/clay-install-auth,A,90
plugins/saas-packs/clay-pack/skills/clay-known-pitfalls,A,94
plugins/saas-packs/clay-pack/skills/clay-load-scale,B,87
plugins/saas-packs/clay-pack/skills/clay-local-dev-loop,A,92
plugins/saas-packs/clay-pack/skills/clay-migration-deep-dive,A,92
plugins/saas-packs/clay-pack/skills/clay-multi-env-setup,A,92
plugins/saas-packs/clay-pack/skills/clay-observability,B,81
plugins/saas-packs/clay-pack/skills/clay-performance-tuning,B,80
plugins/saas-packs/clay-pack/skills/clay-policy-guardrails,C,76
plugins/saas-packs/clay-pack/skills/clay-prod-checklist,B,85
plugins/saas-packs/clay-pack/skills/clay-rate-limits,B,80
plugins/saas-packs/clay-pack/skills/clay-reference-architecture,A,93
plugins/saas-packs/clay-pack/skills/clay-reliability-patterns,B,87
plugins/saas-packs/clay-pack/skills/clay-sdk-patterns,B,80
plugins/saas-packs/clay-pack/skills/clay-security-basics,B,84
plugins/saas-packs/clay-pack/skills/clay-upgrade-migration,B,86
plugins/saas-packs/clay-pack/skills/clay-webhooks-events,A,93
plugins/saas-packs/clerk-pack/skills/clerk-ci-integration,A,91
plugins/saas-packs/clerk-pack/skills/clerk-common-errors,A,93
plugins/saas-packs/clerk-pack/skills/clerk-core-workflow-a,A,91
plugins/saas-packs/clerk-pack/skills/clerk-core-workflow-b,A,100
plugins/saas-packs/clerk-pack/skills/clerk-cost-tuning,A,91
plugins/saas-packs/clerk-pack/skills/clerk-data-handling,A,91
plugins/saas-packs/clerk-pack/skills/clerk-debug-bundle,A,93
plugins/saas-packs/clerk-pack/skills/clerk-deploy-integration,A,96
plugins/saas-packs/clerk-pack/skills/clerk-enterprise-rbac,A,90
plugins/saas-packs/clerk-pack/skills/clerk-hello-world,A,93
plugins/saas-packs/clerk-pack/skills/clerk-incident-runbook,A,92
plugins/saas-packs/clerk-pack/skills/clerk-install-auth,A,91
plugins/saas-packs/clerk-pack/skills/clerk-local-dev-loop,A,94
plugins/saas-packs/clerk-pack/skills/clerk-migration-deep-dive,A,92
plugins/saas-packs/clerk-pack/skills/clerk-multi-env-setup,A,92
plugins/saas-packs/clerk-pack/skills/clerk-observability,A,93
plugins/saas-packs/clerk-pack/skills/clerk-performance-tuning,A,93
plugins/saas-packs/clerk-pack/skills/clerk-prod-checklist,A,93
plugins/saas-packs/clerk-pack/skills/clerk-rate-limits,A,91
plugins/saas-packs/clerk-pack/skills/clerk-reference-architecture,A,92
plugins/saas-packs/clerk-pack/skills/clerk-sdk-patterns,A,91
plugins/saas-packs/clerk-pack/skills/clerk-security-basics,A,93
plugins/saas-packs/clerk-pack/skills/clerk-upgrade-migration,A,92
plugins/saas-packs/clerk-pack/skills/clerk-webhooks-events,A,95
plugins/saas-packs/clickhouse-pack/skills/clickhouse-ci-integration,A,94
plugins/saas-packs/clickhouse-pack/skills/clickhouse-common-errors,A,99
plugins/saas-packs/clickhouse-pack/skills/clickhouse-core-workflow-a,A,97
plugins/saas-packs/clickhouse-pack/skills/clickhouse-core-workflow-b,A,95
plugins/saas-packs/clickhouse-pack/skills/clickhouse-cost-tuning,A,95
plugins/saas-packs/clickhouse-pack/skills/clickhouse-data-handling,A,100
plugins/saas-packs/clickhouse-pack/skills/clickhouse-debug-bundle,A,93
plugins/saas-packs/clickhouse-pack/skills/clickhouse-deploy-integration,A,93
plugins/saas-packs/clickhouse-pack/skills/clickhouse-enterprise-rbac,A,94
plugins/saas-packs/clickhouse-pack/skills/clickhouse-hello-world,A,92
plugins/saas-packs/clickhouse-pack/skills/clickhouse-incident-runbook,A,94
plugins/saas-packs/clickhouse-pack/skills/clickhouse-install-auth,A,97
plugins/saas-packs/clickhouse-pack/skills/clickhouse-local-dev-loop,A,95
plugins/saas-packs/clickhouse-pack/skills/clickhouse-migration-deep-dive,A,93
plugins/saas-packs/clickhouse-pack/skills/clickhouse-multi-env-setup,A,95
plugins/saas-packs/clickhouse-pack/skills/clickhouse-observability,A,93
plugins/saas-packs/clickhouse-pack/skills/clickhouse-performance-tuning,A,97
plugins/saas-packs/clickhouse-pack/skills/clickhouse-prod-checklist,A,92
plugins/saas-packs/clickhouse-pack/skills/clickhouse-rate-limits,A,97
plugins/saas-packs/clickhouse-pack/skills/clickhouse-reference-architecture,A,93
plugins/saas-packs/clickhouse-pack/skills/clickhouse-sdk-patterns,A,97
plugins/saas-packs/clickhouse-pack/skills/clickhouse-security-basics,A,99
plugins/saas-packs/clickhouse-pack/skills/clickhouse-upgrade-migration,A,95
plugins/saas-packs/clickhouse-pack/skills/clickhouse-webhooks-events,A,90
plugins/saas-packs/clickup-pack/skills/clickup-ci-integration,A,99
plugins/saas-packs/clickup-pack/skills/clickup-common-errors,A,97
plugins/saas-packs/clickup-pack/skills/clickup-core-workflow-a,A,96
plugins/saas-packs/clickup-pack/skills/clickup-core-workflow-b,A,99
plugins/saas-packs/clickup-pack/skills/clickup-cost-tuning,A,98
plugins/saas-packs/clickup-pack/skills/clickup-data-handling,A,98
plugins/saas-packs/clickup-pack/skills/clickup-debug-bundle,A,100
plugins/saas-packs/clickup-pack/skills/clickup-deploy-integration,A,99
plugins/saas-packs/clickup-pack/skills/clickup-enterprise-rbac,A,96
plugins/saas-packs/clickup-pack/skills/clickup-hello-world,A,98
plugins/saas-packs/clickup-pack/skills/clickup-incident-runbook,A,99
plugins/saas-packs/clickup-pack/skills/clickup-install-auth,A,96
plugins/saas-packs/clickup-pack/skills/clickup-local-dev-loop,A,99
plugins/saas-packs/clickup-pack/skills/clickup-migration-deep-dive,A,99
plugins/saas-packs/clickup-pack/skills/clickup-multi-env-setup,A,99
plugins/saas-packs/clickup-pack/skills/clickup-observability,A,100
plugins/saas-packs/clickup-pack/skills/clickup-performance-tuning,A,100
plugins/saas-packs/clickup-pack/skills/clickup-prod-checklist,A,100
plugins/saas-packs/clickup-pack/skills/clickup-rate-limits,A,97
plugins/saas-packs/clickup-pack/skills/clickup-reference-architecture,A,98
plugins/saas-packs/clickup-pack/skills/clickup-sdk-patterns,A,99
plugins/saas-packs/clickup-pack/skills/clickup-security-basics,A,100
plugins/saas-packs/clickup-pack/skills/clickup-upgrade-migration,A,99
plugins/saas-packs/clickup-pack/skills/clickup-webhooks-events,A,100
plugins/saas-packs/coderabbit-pack/skills/coderabbit-ci-integration,A,97
plugins/saas-packs/coderabbit-pack/skills/coderabbit-common-errors,A,98
plugins/saas-packs/coderabbit-pack/skills/coderabbit-core-workflow-a,A,99
plugins/saas-packs/coderabbit-pack/skills/coderabbit-core-workflow-b,A,97
plugins/saas-packs/coderabbit-pack/skills/coderabbit-cost-tuning,A,98
plugins/saas-packs/coderabbit-pack/skills/coderabbit-data-handling,A,98
plugins/saas-packs/coderabbit-pack/skills/coderabbit-debug-bundle,A,99
plugins/saas-packs/coderabbit-pack/skills/coderabbit-deploy-integration,A,96
plugins/saas-packs/coderabbit-pack/skills/coderabbit-enterprise-rbac,A,95
plugins/saas-packs/coderabbit-pack/skills/coderabbit-hello-world,A,99
plugins/saas-packs/coderabbit-pack/skills/coderabbit-incident-runbook,A,96
plugins/saas-packs/coderabbit-pack/skills/coderabbit-install-auth,A,99
plugins/saas-packs/coderabbit-pack/skills/coderabbit-local-dev-loop,A,100
plugins/saas-packs/coderabbit-pack/skills/coderabbit-migration-deep-dive,A,98
plugins/saas-packs/coderabbit-pack/skills/coderabbit-multi-env-setup,A,97
plugins/saas-packs/coderabbit-pack/skills/coderabbit-observability,A,96
plugins/saas-packs/coderabbit-pack/skills/coderabbit-performance-tuning,A,97
plugins/saas-packs/coderabbit-pack/skills/coderabbit-prod-checklist,A,98
plugins/saas-packs/coderabbit-pack/skills/coderabbit-rate-limits,A,96
plugins/saas-packs/coderabbit-pack/skills/coderabbit-reference-architecture,A,97
plugins/saas-packs/coderabbit-pack/skills/coderabbit-sdk-patterns,A,97
plugins/saas-packs/coderabbit-pack/skills/coderabbit-security-basics,A,100
plugins/saas-packs/coderabbit-pack/skills/coderabbit-upgrade-migration,A,96
plugins/saas-packs/coderabbit-pack/skills/coderabbit-webhooks-events,A,100
plugins/saas-packs/cohere-pack/skills/cohere-ci-integration,A,100
plugins/saas-packs/cohere-pack/skills/cohere-common-errors,A,99
plugins/saas-packs/cohere-pack/skills/cohere-core-workflow-a,A,98
plugins/saas-packs/cohere-pack/skills/cohere-core-workflow-b,A,98
plugins/saas-packs/cohere-pack/skills/cohere-cost-tuning,A,100
plugins/saas-packs/cohere-pack/skills/cohere-data-handling,A,100
plugins/saas-packs/cohere-pack/skills/cohere-debug-bundle,A,100
plugins/saas-packs/cohere-pack/skills/cohere-deploy-integration,A,100
plugins/saas-packs/cohere-pack/skills/cohere-enterprise-rbac,A,97
plugins/saas-packs/cohere-pack/skills/cohere-hello-world,A,99
plugins/saas-packs/cohere-pack/skills/cohere-incident-runbook,A,100
plugins/saas-packs/cohere-pack/skills/cohere-install-auth,A,99
plugins/saas-packs/cohere-pack/skills/cohere-local-dev-loop,A,100
plugins/saas-packs/cohere-pack/skills/cohere-migration-deep-dive,A,99
plugins/saas-packs/cohere-pack/skills/cohere-multi-env-setup,A,100
plugins/saas-packs/cohere-pack/skills/cohere-observability,A,99
plugins/saas-packs/cohere-pack/skills/cohere-performance-tuning,A,99
plugins/saas-packs/cohere-pack/skills/cohere-prod-checklist,A,100
plugins/saas-packs/cohere-pack/skills/cohere-rate-limits,A,98
plugins/saas-packs/cohere-pack/skills/cohere-reference-architecture,A,97
plugins/saas-packs/cohere-pack/skills/cohere-sdk-patterns,A,100
plugins/saas-packs/cohere-pack/skills/cohere-security-basics,A,99
plugins/saas-packs/cohere-pack/skills/cohere-upgrade-migration,A,100
plugins/saas-packs/cohere-pack/skills/cohere-webhooks-events,A,96
plugins/saas-packs/coreweave-pack/skills/coreweave-ci-integration,A,92
plugins/saas-packs/coreweave-pack/skills/coreweave-common-errors,A,92
plugins/saas-packs/coreweave-pack/skills/coreweave-core-workflow-a,B,87
plugins/saas-packs/coreweave-pack/skills/coreweave-core-workflow-b,B,86
plugins/saas-packs/coreweave-pack/skills/coreweave-cost-tuning,A,91
plugins/saas-packs/coreweave-pack/skills/coreweave-data-handling,A,95
plugins/saas-packs/coreweave-pack/skills/coreweave-debug-bundle,A,91
plugins/saas-packs/coreweave-pack/skills/coreweave-deploy-integration,B,89
plugins/saas-packs/coreweave-pack/skills/coreweave-enterprise-rbac,A,90
plugins/saas-packs/coreweave-pack/skills/coreweave-fabric-diagnostics,A,97
plugins/saas-packs/coreweave-pack/skills/coreweave-gpu-cost-leak-hunter,A,96
plugins/saas-packs/coreweave-pack/skills/coreweave-gpu-node-forensics,A,90
plugins/saas-packs/coreweave-pack/skills/coreweave-hello-world,B,86
plugins/saas-packs/coreweave-pack/skills/coreweave-incident-runbook,A,93
plugins/saas-packs/coreweave-pack/skills/coreweave-install-auth,B,88
plugins/saas-packs/coreweave-pack/skills/coreweave-local-dev-loop,B,87
plugins/saas-packs/coreweave-pack/skills/coreweave-multi-env-setup,A,90
plugins/saas-packs/coreweave-pack/skills/coreweave-observability,A,90
plugins/saas-packs/coreweave-pack/skills/coreweave-performance-tuning,A,95
plugins/saas-packs/coreweave-pack/skills/coreweave-prod-checklist,A,95
plugins/saas-packs/coreweave-pack/skills/coreweave-sdk-patterns,B,85
plugins/saas-packs/coreweave-pack/skills/coreweave-security-basics,A,90
plugins/saas-packs/coreweave-pack/skills/coreweave-upgrade-migration,B,88
plugins/saas-packs/cursor-pack/skills/cursor-advanced-composer,A,92
plugins/saas-packs/cursor-pack/skills/cursor-ai-chat,A,92
plugins/saas-packs/cursor-pack/skills/cursor-api-key-management,A,90
plugins/saas-packs/cursor-pack/skills/cursor-codebase-indexing,A,94
plugins/saas-packs/cursor-pack/skills/cursor-common-errors,A,94
plugins/saas-packs/cursor-pack/skills/cursor-compliance-audit,A,94
plugins/saas-packs/cursor-pack/skills/cursor-composer-workflows,A,92
plugins/saas-packs/cursor-pack/skills/cursor-context-management,A,94
plugins/saas-packs/cursor-pack/skills/cursor-custom-prompts,A,94
plugins/saas-packs/cursor-pack/skills/cursor-debug-bundle,A,95
plugins/saas-packs/cursor-pack/skills/cursor-extension-integration,A,94
plugins/saas-packs/cursor-pack/skills/cursor-git-integration,A,92
plugins/saas-packs/cursor-pack/skills/cursor-hello-world,A,93
plugins/saas-packs/cursor-pack/skills/cursor-indexing-issues,A,95
plugins/saas-packs/cursor-pack/skills/cursor-install-auth,A,90
plugins/saas-packs/cursor-pack/skills/cursor-keybindings,A,95
plugins/saas-packs/cursor-pack/skills/cursor-known-pitfalls,A,94
plugins/saas-packs/cursor-pack/skills/cursor-local-dev-loop,A,92
plugins/saas-packs/cursor-pack/skills/cursor-model-selection,A,94
plugins/saas-packs/cursor-pack/skills/cursor-multi-repo,A,94
plugins/saas-packs/cursor-pack/skills/cursor-performance-tuning,A,92
plugins/saas-packs/cursor-pack/skills/cursor-privacy-settings,A,94
plugins/saas-packs/cursor-pack/skills/cursor-prod-checklist,A,93
plugins/saas-packs/cursor-pack/skills/cursor-reference-architecture,A,92
plugins/saas-packs/cursor-pack/skills/cursor-rules-config,A,94
plugins/saas-packs/cursor-pack/skills/cursor-sso-integration,A,91
plugins/saas-packs/cursor-pack/skills/cursor-tab-completion,A,91
plugins/saas-packs/cursor-pack/skills/cursor-team-setup,A,92
plugins/saas-packs/cursor-pack/skills/cursor-upgrade-migration,A,94
plugins/saas-packs/cursor-pack/skills/cursor-usage-analytics,A,92
plugins/saas-packs/customerio-pack/skills/customerio-advanced-troubleshooting,A,92
plugins/saas-packs/customerio-pack/skills/customerio-ci-integration,B,89
plugins/saas-packs/customerio-pack/skills/customerio-common-errors,A,96
plugins/saas-packs/customerio-pack/skills/customerio-core-feature,B,88
plugins/saas-packs/customerio-pack/skills/customerio-cost-tuning,B,89
plugins/saas-packs/customerio-pack/skills/customerio-debug-bundle,A,95
plugins/saas-packs/customerio-pack/skills/customerio-deploy-pipeline,A,90
plugins/saas-packs/customerio-pack/skills/customerio-hello-world,A,96
plugins/saas-packs/customerio-pack/skills/customerio-install-auth,B,88
plugins/saas-packs/customerio-pack/skills/customerio-known-pitfalls,A,95
plugins/saas-packs/customerio-pack/skills/customerio-load-scale,B,88
plugins/saas-packs/customerio-pack/skills/customerio-local-dev-loop,A,92
plugins/saas-packs/customerio-pack/skills/customerio-multi-env-setup,B,88
plugins/saas-packs/customerio-pack/skills/customerio-observability,B,87
plugins/saas-packs/customerio-pack/skills/customerio-performance-tuning,B,87
plugins/saas-packs/customerio-pack/skills/customerio-primary-workflow,A,92
plugins/saas-packs/customerio-pack/skills/customerio-prod-checklist,A,97
plugins/saas-packs/customerio-pack/skills/customerio-rate-limits,B,89
plugins/saas-packs/customerio-pack/skills/customerio-reference-architecture,A,90
plugins/saas-packs/customerio-pack/skills/customerio-reliability-patterns,B,88
plugins/saas-packs/customerio-pack/skills/customerio-sdk-patterns,B,85
plugins/saas-packs/customerio-pack/skills/customerio-security-basics,B,88
plugins/saas-packs/customerio-pack/skills/customerio-upgrade-migration,A,91
plugins/saas-packs/customerio-pack/skills/customerio-webhooks-events,B,87
plugins/saas-packs/databricks-pack/skills/databricks-bundle-medic,A,92
plugins/saas-packs/databricks-pack/skills/databricks-cluster-forensics,A,94
plugins/saas-packs/databricks-pack/skills/databricks-cost-leak-hunter,B,88
plugins/saas-packs/databricks-pack/skills/databricks-streaming-guardian,A,90
plugins/saas-packs/databricks-pack/skills/databricks-uc-migration-pilot,A,91
plugins/saas-packs/deepgram-pack/skills/deepgram-ci-integration,B,86
plugins/saas-packs/deepgram-pack/skills/deepgram-common-errors,A,92
plugins/saas-packs/deepgram-pack/skills/deepgram-core-workflow-a,A,91
plugins/saas-packs/deepgram-pack/skills/deepgram-core-workflow-b,A,90
plugins/saas-packs/deepgram-pack/skills/deepgram-cost-tuning,B,88
plugins/saas-packs/deepgram-pack/skills/deepgram-data-handling,A,90
plugins/saas-packs/deepgram-pack/skills/deepgram-debug-bundle,A,94
plugins/saas-packs/deepgram-pack/skills/deepgram-deploy-integration,B,88
plugins/saas-packs/deepgram-pack/skills/deepgram-enterprise-rbac,B,86
plugins/saas-packs/deepgram-pack/skills/deepgram-hello-world,A,91
plugins/saas-packs/deepgram-pack/skills/deepgram-incident-runbook,B,87
plugins/saas-packs/deepgram-pack/skills/deepgram-install-auth,B,85
plugins/saas-packs/deepgram-pack/skills/deepgram-local-dev-loop,A,92
plugins/saas-packs/deepgram-pack/skills/deepgram-migration-deep-dive,B,88
plugins/saas-packs/deepgram-pack/skills/deepgram-multi-env-setup,B,87
plugins/saas-packs/deepgram-pack/skills/deepgram-observability,B,87
plugins/saas-packs/deepgram-pack/skills/deepgram-performance-tuning,B,86
plugins/saas-packs/deepgram-pack/skills/deepgram-prod-checklist,A,91
plugins/saas-packs/deepgram-pack/skills/deepgram-rate-limits,A,90
plugins/saas-packs/deepgram-pack/skills/deepgram-reference-architecture,B,87
plugins/saas-packs/deepgram-pack/skills/deepgram-sdk-patterns,A,90
plugins/saas-packs/deepgram-pack/skills/deepgram-security-basics,B,89
plugins/saas-packs/deepgram-pack/skills/deepgram-upgrade-migration,A,90
plugins/saas-packs/deepgram-pack/skills/deepgram-webhooks-events,B,88
